Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Category
962123,Alibaba Group,4,110.25,06/25/23 15:00,Uttar Pradesh,Outdoors
125064,Johnson & Johnson,4,536.52,02/16/23 14:00,Madhya Pradesh,Outdoors
184779,Berkshire Hathaway,2,116.74,12/17/23 01:00,West Bengal,Outdoors
141723,Realme,3,315.33,07/16/23 21:00,Maharashtra,Clothing
603014,Tencent,4,475.7,01/29/23 16:00,Madhya Pradesh,Toys
398698,Berkshire Hathaway,4,60.73,11/28/23 18:00,Rajasthan,Outdoors
951460,Tencent,5,397.94,01/04/23 14:00,West Bengal,Outdoors
329891,Tencent,3,189.84,09/16/23 04:00,Rajasthan,Toys
685342,Johnson & Johnson,4,577.88,12/11/23 06:00,Rajasthan,Toys
953812,Google Phone,2,520.13,09/23/23 17:00,Maharashtra,Personal Care
319327,Berkshire Hathaway,3,20.67,03/27/23 19:00,Rajasthan,Clothing
908906,Tencent,5,569.09,07/10/23 07:00,Uttar Pradesh,Furniture
235806,Realme,5,297.59,10/05/23 08:00,Andhra,Stationery
666557,Google Phone,2,56.28,09/03/23 10:00,Odisha,Toys
302437,Samsung,5,501.66,03/05/23 18:00,Bihar,Furniture
986070,Alphabet (Google),1,544.3,07/24/23 14:00,West Bengal,Outdoors
284586,Alphabet (Google),2,58.13,01/19/23 00:00,Tamil Nadu,Outdoors
913628,Berkshire Hathaway,2,349.89,02/27/23 15:00,Bihar,Automotive Tools
669577,Google Phone,4,114.72,05/13/23 13:00,Andhra,Automotive Tools
170568,Microsoft,5,526.81,04/13/23 01:00,Odisha,Electronics
837945,Berkshire Hathaway,4,508.39,11/02/23 03:00,Andhra,Electronics
825554,Berkshire Hathaway,2,142.74,10/22/23 21:00,Gujarat,Clothing
107706,Tencent,2,381.52,03/10/23 20:00,Andhra,Stationery
391500,Realme,2,343.57,10/02/23 03:00,Andhra,Automotive Tools
950386,Alphabet (Google),4,424.47,02/03/23 05:00,Maharashtra,Automotive Tools
911848,Tencent,4,57.21,02/25/23 09:00,Maharashtra,Stationery
992361,Tesla,5,388.83,03/06/23 03:00,Odisha,Furniture
514516,Google Phone,5,325.85,03/23/23 13:00,Maharashtra,Stationery
211596,Google Phone,2,599.07,10/30/23 19:00,Rajasthan,Personal Care
850318,Berkshire Hathaway,4,419.46,11/17/23 12:00,Gujarat,Furniture
148897,Amazon,3,192.23,12/01/23 17:00,Karnataka,Clothing
942010,Tesla,2,98.55,09/17/23 10:00,Tamil Nadu,Toys
518004,Tesla,4,552.26,11/04/23 22:00,Andhra,Clothing
658293,Google Phone,5,342.88,09/06/23 17:00,Maharashtra,Electronics
228393,Berkshire Hathaway,4,359.21,06/11/23 16:00,Rajasthan,Stationery
715041,Alphabet (Google),3,221.95,02/14/23 15:00,Andhra,Stationery
368137,Meta Platforms (formerly Facebook),3,366.71,12/27/23 19:00,Telangana,Stationery
602596,Tesla,2,372.1,10/19/23 15:00,Odisha,Outdoors
894410,Meta Platforms (formerly Facebook),2,144.79,01/11/23 12:00,West Bengal,Outdoors
323414,Tesla,2,578.39,03/02/23 16:00,Telangana,Toys
290642,Berkshire Hathaway,4,195.41,08/13/23 23:00,Gujarat,Automotive Tools
637193,Alphabet (Google),2,285.56,03/10/23 13:00,Madhya Pradesh,Toys
876380,Amazon,5,454.88,12/05/23 06:00,Rajasthan,Furniture
526987,Alibaba Group,2,282.75,01/10/23 02:00,Karnataka,Stationery
403628,Google Phone,5,149.91,10/18/23 03:00,Karnataka,Stationery
303698,Tesla,4,296.29,07/18/23 05:00,Telangana,Toys
481755,Berkshire Hathaway,2,518.62,09/27/23 16:00,Gujarat,Furniture
219263,Realme,5,79.47,06/26/23 20:00,Telangana,Clothing
677274,Alibaba Group,4,417.35,04/11/23 02:00,Karnataka,Personal Care
846189,Amazon,3,149.5,06/20/23 14:00,Tamil Nadu,Clothing
431835,Google Phone,4,416.58,06/13/23 20:00,West Bengal,Outdoors
457577,Realme,2,576.83,11/08/23 00:00,Tamil Nadu,Electronics
396091,Tesla,1,249.56,10/19/23 18:00,Telangana,Clothing
369138,Tesla,5,598.01,12/16/23 06:00,Gujarat,Automotive Tools
796911,Berkshire Hathaway,5,486.94,03/03/23 11:00,Rajasthan,Furniture
633695,Tencent,2,130.31,07/05/23 04:00,Andhra,Clothing
181424,Realme,5,10.85,04/21/23 13:00,Uttar Pradesh,Personal Care
355008,Samsung,5,10.15,10/31/23 22:00,Andhra,Outdoors
561969,Samsung,4,365.05,11/29/23 22:00,Bihar,Electronics
850420,Tesla,1,62.76,10/02/23 12:00,Rajasthan,Toys
207642,Alphabet (Google),4,39.59,02/24/23 09:00,Maharashtra,Automotive Tools
